S.No,Comments,Label,Unnamed: 3
HATE_3962,nijAyitIni namukunoDu sakkagA vuMTADu dAri tApina nAkòDuku ògoni kALlu paTTukuMTunnADu,hate,
HATE_3963,dAnine huMdAtanaM aMTAru,hate,
HATE_3964,threetwo caselu unnapudu kallu pattukovali leka pothey CBI vaalu Jail lo vestharu,hate,
HATE_3965,Expresion em vundavu Anntiki same expressions,non-hate,
HATE_3966,Ayyo anuksha seeti kikrthi setti ki shoulder down undhi,hate,
HATE_3967,idi hIroyin eMTrA karmachi chimUti hIroyinòka sinimA hIroyin aMte idenemo,hate,
HATE_3968,I lAMTi kaShTamaina panulaku prabhutvaM gurtiMchi vAriki èMto kòMta pènShan maMjUru cheyAli,non-hate,
HATE_3969,kali kAlaM lo ilAMTi vi jaragaDaM mAmulu poyekAlaM vIDiyo guriMchi Drès kharchu ki badulu,hate,
HATE_3970,sisTar nuvvu chAlA bAgA chesAv amma nIlo TAlèMT mAmUlugA ledu,non-hate,
HATE_3971,Antha perfect ga ayithae raledhu but try chesaru kadha thats more important,hate,
HATE_3972,ilAMTi vAlle pèLli ayina nèlaki bhartanu chaMpèdi,hate,
HATE_3973,nijaMgA️ sUpar gA cheshAv,non-hate,
HATE_3974,greT parphAmèns sis kriMdi Tails slip avutunna balans chesukòni pèrphèkT gA DAns vesAv sUpar,non-hate,
HATE_3975,vAv mI DAns sUpar sUpar,non-hate,
HATE_3976,I kAlaMlo I DAns lA mIda unna iMTrasT jIvitAla mIda lekuMDA poyiMdi ,hate,
HATE_3977,sUpar baMgAraM ammA,non-hate,
HATE_3978,DAns plas sIjan two kAvAli ,non-hate,
HATE_3979,eM parla eM parlAkappu mukhyaM kAduèMta kuLLu kuMTU bratikAmA annadi mukhyaM,hate,
HATE_3980,hAg ivvaTAniki rAvAli,non-hate,
HATE_3981,èMta tokkite aMta lestADu mA annA,non-hate,
HATE_3982,mIru kAman myAn gA unApuDe iMta janaM ade sIèM,non-hate,
HATE_3983,ide abhimAnaM elections varaku uMDAli ,non-hate,
HATE_3984,ninnu kolpovaDaM mA duradRRiShTaM mA pedala hRRidayaMlo èppaTiki ,non-hate,
HATE_3985,tèlaMgANa udyama gItAla nuMDi mAs gItAla mIdiki rUT mArchina maMglI,non-hate,
HATE_3986,maMglI meDaM gòMtulo e pATainA atyaMta madhuraM èMta èMjAy chestU pADutuMdo ,non-hate,
HATE_3987,Akka neee voice la Edo magic music undiii,non-hate,
HATE_3988,akka nI pATa prati òkkaTi adiripotuMdi,non-hate,
HATE_3989,maMgli aMTe ènarjI,non-hate,
HATE_3990,Dress bavundi kaani phone poyindi,non-hate,
HATE_3991,Dress ni chusukunnatuga kasta phone ni kuda chuskovali kada amma ,non-hate,
HATE_3992,maMglI pADina pATalu annI òkelAgane anipistunnAyi pèdda DipharèMT emI ledu,hate,
HATE_3993,dInikannA bAgA paDevALLu unnaru vALLanu èMkarej cheyaMDi,hate,
HATE_3994,prati pATa arapu èkkuvagA uMTuMdi èMduko anni pATalu òkelA unnAyi,non-hate,
HATE_3995,Helping nature kuda vundaali apude manishiki viluva,non-hate,
HATE_3996,riyal DyAns bro adharagòTTAru,non-hate,
HATE_3997,ènni sArlu chUsinA iMkA chUDAlanipistuMdi mI DAns,non-hate,
HATE_3998,A vaiT Drès lo chUstuMTe vijayavADa pèddapuli vaMgavITi mohan raMgA nu chUsinaTTuMdi anna,non-hate,
HATE_3999,IsAri e pArTIki ammuDupotAro pavan kaLyAN gAru chUddAM,non-hate,
HATE_4000,vaMgavITi mohanaraMgA sTail kadA,non-hate,
HATE_4001,laik lu kòTTevALLu èkkuvA kAnI oTlu vesevALLu chAlA takkuvA,hate,
HATE_4002,aDakkalu aMdaru kalisi phasT naiT ki rUm loki paMptunnAremiTi,hate,
HATE_4003,iMta spID DAnsar èvaru cheyaleru,non-hate,
HATE_4004,ènno koTla maMdi guMDèllo nilichipoyina devuDu ,non-hate,
HATE_4005,iMta phiT bADI uMDi appu anna ala maraNiMchaDaM bAdhagA uMdi,non-hate,
HATE_4006,A mAsTar shrImukhi naMdu èlaka pilla lA unnADu,non-hate,
HATE_4007,shekhar mAsTar gAru aMD shrImukhi gAru mI DyAns bAgA adiriMdi ,non-hate,
HATE_4008,nIvu aMtA lAvugA unna DyAns sUpar shrImukhi,non-hate,
HATE_4009,tòDalu assalu unnAyi ,hate,
HATE_4010,araTi bòdalu anaMgA vinnAnu ippuDu shrImukhivi chUshAnu,hate,
HATE_4011,avi tòDala mèTro pillarla aMtunnAyi ,hate,
HATE_4012,ADavALLu magavALLu gA  magavALLu ADavALLu gA,hate,
HATE_4013,tòDalu chupèTTaDAniki aa chinna baTTa vesukuMdi,hate,
HATE_4014,maMchi joDi unna èddulu,hate,
HATE_4015,maMchi joDi unna èddulu,hate,
HATE_4016,sAr mIru mA phèvar sAr,hate,
HATE_4017,bèDrUm lo iddaru eMdouMdi ,hate,
HATE_4018,tòDalu chAlA AkarShaNIyaMgA kanabaDutunnAyi,hate,
HATE_4019,hammayya ippaTiki òka maMchi vIDiyo cheshAvu talli ,non-hate,
HATE_4020,ninnu ilA chUstuMTe nA somi raMga ,non-hate,
HATE_4021,I gurramu èkkaDiki potuMdi,non-hate,
HATE_4022,nuvvu ilA kannu kòTTi rèMDu veLLu chUyiMchinappuDu nA sAmiraMgA narAlu jivvU mannavi,non-hate,
HATE_4023,A kAruku sare nIku dòrikADA Draivaru ,hate,
HATE_4024,ilAMTi anni chUpiMcheste sinimA chUstunnAM ane phIliMg uMDadu,non-hate,
HATE_4025,paddatigA vuMDaMDi,non-hate,
HATE_4026,eMTi gurraM twosare ki vastoMdA pakkane chèTlu unnAyi vèLli loD diMchey,non-hate,
HATE_4027,meDaM ku ukka postunaTTuMdi saMkalo bADI vesukuMdi,hate,
HATE_4028,e mArniMg vèLLaledA iMkA èMduku veLLu tvaragA,hate,
HATE_4029,lopala aMDarver vesukunnAvA ledA,hate,
HATE_4030,borukòchchina baMDi borukòchchina baMDini naDuputuMdi,hate,
HATE_4031,bharta poyaDame bèMga ledu surekhaki kUturiki talli klablo tirugutunnAru,hate,
HATE_4032,navvu chAlu chUpistunnAru,hate,
HATE_4033,maMchi chese vALLani mana janaM nammaka pote iMka deshaM èlA bAgu paDutuMdi,non-hate,
HATE_4034,nA Upiri unnaMtavaraku nA oTu mIke annA,non-hate,
HATE_4035,prajA samasyala pariShkAraMpai dRRiShTi pèTTaMDi ,non-hate,
HATE_4036,Ayana mIda abhimAnaM uMTe saripodu Ayanaki oTestene kadA gèlichedi ,non-hate,
HATE_4037,jai pavar sTAr annA pavan kaLyAN anna nenu nI phyAn annA nèksT nuvve sIèM pakka,non-hate,
HATE_4038,anni pATalaki ide sTèps hA,non-hate,
HATE_4039,òkasAri chuTTU unna vALLa kaLLallo AnaMdAnni gamaniMchaMDi,non-hate,
HATE_4040,nijamaina pavan kalyAn abimAnike tèlustuMdi A AnaMdaM,non-hate,
HATE_4041,A abbAyi saMtoShaM chUsi mA kaLLallo nILLu vachchAyi,non-hate,
HATE_4042,pavankaLyAN gAri navvu lo nIti nijAyitI uMTuMdi,non-hate,
HATE_4043,prANaM ichche fanc òka pavaN kalyAN gAriki mAtrame unnAru,non-hate,
HATE_4044,nA baMgAraM A navvulone uMdi anna mA saMtoShaM,non-hate,
HATE_4045,guMDèla paina kAdu guMDè lopala vunnAru sar mIru,non-hate,
HATE_4046,A navvu lò koTi koTlA AnaMdaM uMdi ,non-hate,
HATE_4047,I vIDiyo aMTe chAlA iShTaM nAku,non-hate,
HATE_4048,ilAMTi abhimAnulu òkka pavan kalyAN gAriki mAtrame uMTAru,non-hate,
HATE_4049,Kaasta amma nanna paina prema kaligi vundandi bro,non-hate,
HATE_4050,kaMTlo durada pèTTiMdi kAbaTTi saripoyiMdi,non-hate,
HATE_4051,kaMTlo durada pèTTiMdi kAbaTTi saripoyiMdi,hate,
HATE_4052,Arey edi ammai kadura anti,hate,
HATE_4053,ideMTI ilA naDustuMdi,hate,
HATE_4054,rAboye kAlAniki kAboye hIro,non-hate,
HATE_4055,vèMkaTeSh gAri abbAyi so svIT ,non-hate,
HATE_4056,Next generation chala strong ga prepare chesthunnaru,non-hate,
HATE_4057,maheSh bAbu la vuMD sitAra pApa chAlA kyUT gA uMdi,non-hate,
HATE_4058,Enni saarulu chusina chudalanipistu vundhi ,non-hate,
HATE_4059,iddarU chAlA bAgunnAru sooooo kyUT,non-hate,
HATE_4060,mIru niMDu nUreLlu challagA uMDAlani korukuMTU hyApI myArej laiph,non-hate,
HATE_4061,kanapaDaDu kAnI chAlA kanniMg,hate,
HATE_4062,Siri kosam vachenappudu srihan ni chala manchodu anukunnam,hate,
HATE_4063,shekhar mAsTar to A pilla eM chesiMdi rA nAyanA,non-hate,
HATE_4064,shekhar mAsTar kaMTe kUDA dIpika DAns chAlA bAgA chesiMdi ,non-hate,
HATE_4065,prabhAs gAru anuShka gAru mIru tòMdaragA pèLli chesukoMDi ,non-hate,
HATE_4066,prabhAs gAru anuShka gAru pèLli chesukovAlani tèlugu rAShTrAllo kònni koTla maMdi korukuMTunnAru,non-hate,
HATE_4067,Very gres phul DAnsar Shannu,non-hate,
HATE_4068,Pinky ki entha kopam vachi vuntundhoo papam,non-hate,
HATE_4069,Anna pinky akka kada ne jodi were is pinky akka,non-hate,
HATE_4070,dIpika nuvvu maMchi DAns r vi nI DAns aMTe nAkU chAla iShTaM,non-hate,
HATE_4071,vAmmo sUpar chiTTi thalli ️ AkShan ke prANaM posèla annav rA mummy,non-hate,
HATE_4072,èMta mudduguMdo chAlA bAgunnAv baMgAraM,non-hate,
HATE_4073,alente ki age avasaraM ledu ani maLlI nirUpiMchAv ,non-hate,
HATE_4074,mATalo chèppalenaMta pemA ,non-hate,
HATE_4075,koDalu pilla mA kòDuku nI pèLli chesukuMTAvA kaTnaM eM vòddu meme iShTamu kAvAlaMTe,non-hate,
HATE_4076,iMta aMdamaina pillani nA jIvitaMlo chUDane ledu,non-hate,
HATE_4077,e sinimA lo pATa chAlA bAguMdi,non-hate,
HATE_4078,Annayya undi kuda miss avuthunnavaru ,non-hate,
HATE_4079,Shekar master Appatlo Sadha garitho dhee lo dance chesevaru,non-hate,
HATE_4080,pavitra  pèrphèkT DAns,non-hate,
HATE_4081,immu bro phAns ikkaDa,non-hate,
HATE_4082,I kachchA bAdaM sAMg ammAyi ki sèT avutuMdi,non-hate,
HATE_4083,Atleast thana age ki thana carrier set ayyindhii,non-hate,
HATE_4084,Elanti song vesina ade oke expression papa Malli dhaniki karuvu batch,hate,
HATE_4085,shekhar gAru ippuDu ilA vere ammAyilato chestunnAv ledA alAge repu nI kUturu kUDA uMdi marchipoku mAsTar,hate,
HATE_4086,sUpar anna sAMg ènnisArlu vinnAnu nAke arthaM avvaTledu,non-hate,
HATE_4087,ènnisArlu vinnA vinAlanipistuMdi I pATa,non-hate,
HATE_4088,nuvvu paDiMdi maMchi gAuMdi bro,non-hate,
HATE_4089,ramaNagArU mI pATa ènni sArlu vinnA iMkA vinAlani nijAniki sAMpradAya paddhatilo saMgItaM pADevine mA lAMTi vAriki kUDA mAMchi ènarjI istuMdi,non-hate,
HATE_4090,anna mIru mugguru èppuDu ilAge kalisi uMDAli annA,non-hate,
HATE_4091,ènni kaShTAla tarvAta happy vastuMdo tèliyadu bradar kaShTa jIvulu,non-hate,
HATE_4092,anna mIru chAlA kaShTapaDi paiki vachchinavAru kaShTaM viluva tèlisinavAru ,non-hate,
HATE_4093,aMtA mI kaShTArjitaM annamIru èppuDu saMtoShaMgA uMDAlani korukuMTU iTlu mI abhimAni,non-hate,
HATE_4094,vIDiyo chUDaMgAne kAmèMTs kosaM vachinavAlu òka likè vesukoMDi,non-hate,
HATE_4095,avi kèmèrA muMdu ariche arupulu kAdu ,hate,
HATE_4096,chIra kaTTukuMTe chAlu èvarikainA òka huMdAtanaM vachchestuMdi,non-hate,
HATE_4097,pichchikkiMche abhimAnaM ayana sòMtaM jai pavan kaLyAN,non-hate,
HATE_4098,phoTo kosaM pakkaki vèLte lAgi kòTTè hIro lu mla lu unnAru alAMTi vALLu mA devuDu ni chuDaMDi òkasAri ,non-hate,
HATE_4099,Inthamandi abhmaninchali ante entha adrushtam chesuko undali,non-hate,
HATE_4100,adRRiShTa vaMtulu èMjAy bradars,non-hate,
HATE_4101,eM adRRiShTaM svAmi anna ne phon touch chesiMdi lakkI,non-hate,
HATE_4102,annayya ane pilupu vini vènakki tirigADu,non-hate,
HATE_4103,annayya ane pilupu vini vènakki tirigADu,hate,
HATE_4104,kApI kAkuMDA vere Trai chese sUpar vijayaM nIde pilli DuD,non-hate,
HATE_4105,Starting lo full cover aiye vesedi dresses rating kosam ippudu Air free,hate,
HATE_4106,mI naDumu keka AMTI,hate,
HATE_4107,kaShTa paDakuMDA Dabbulu vaste chAlu I ADavALlaku,hate,
HATE_4108,muMdugA prajalu mArAli chaTTAlanu kApADukovAli svataMtraMgA mana oTu manaM nijAyitIgA vesukuMTe chAlu,non-hate,
HATE_4109,guDivADa prajalu Alochana parulu kAnaMta varaku devuDu kUDA bAgu cheyaleDu veDavalakU padavulu ,hate,
HATE_4110,abhivRRiddhi saMkShemaM rèMDu chUDagala chaMdrabAbu valle rAShTraniki maMchi jarugutuMdanedi mummATiki nijaM,non-hate,
HATE_4111,pathakAlanu peru pèTTi janAlni Dabbuto kònestunnADu,hate,
HATE_4112,guDivADa anagA Thakkuna gurtòchche peru kyAsino,hate,
HATE_4113,aMdarU roDlaparisthiti paine mATlADAru idi rAShTraM aMtaTA uMdi …,hate,
HATE_4114,akkaDa sAmAnya prajalu chèppede karèkT òpIniyan ,non-hate,
HATE_4115,dInikI kAraNaM muslimula mata unmAdaM,hate,
HATE_4116,hiMdUmataM kuTuMba niyaMtraNa pATiMchaDaM kòMtamaMdi krisTiyAniTI kanvarT avvaDaM avvaDaM valana hiMdU janAbhA,hate,
HATE_4117,siggu ledu prabhutvAniki skUl ki ilA pravartistunnAru  iMkA chaduvulu èMduku,hate,
HATE_4118,jaibhIm musliMlaku maddatIvvaDamaMTe aMbedkar gArini aMbedkar gAru vrAsina rAjyAMganni avamAnichchinaTTe,hate,
HATE_4119,aMdaru kalisi uMDaMDi plIj manaM bhAratIyulaM,non-hate,
HATE_4120,janAlu leru bochchu leru aMtA aMbak,hate,
HATE_4121,iMDiyan maikel jAksan prabhudevA gAru,non-hate,
HATE_4122,prabhudevA taruvAte e DAnsar ayinA,non-hate,
HATE_4123,iMDiyA lèjèMDrI DAnsar van aMD onlI prabhudevA,non-hate,
HATE_4124,èMtamaMdi DyAns mAsTar lu vachchinA prabhudevA mAsTar lAgA veyaleru,hate,
HATE_4125,prabhudevA DAns mAsTar aMTe DAns adiripoddi,non-hate,
HATE_4126,abaddhAniki pèdda noru uMTuMdi,hate,
HATE_4127,Pastors aMdarikI òka manavidayachesi I vidhamaina debates vèLLi Christianity kI unna viluva taggiMchavadu,hate,
HATE_4128,mIru ilAge prashAMtaMgA rAjakIyAlu chèyyaMDi annA,non-hate,
HATE_4129,sAr nAdèMDla manohar gAru mIru èppaTiki prANaM unnaMta varaku pavan kaLyAN gArito vuMDaMDi,non-hate,
HATE_4130,aMdarU oTlu rijisTar chesukoMDi mitrulA,non-hate,
HATE_4131,avinIti rahita paripAlana ganaka iste tappakuMDA rAShTraM abhivRRiddhi chèMdutuMdi,non-hate,
HATE_4132,abbAyilaku ShAk ichchevAru vuMTAruippuDu ammAyi ke ShAk ichchADu,non-hate,
HATE_4133,Ammo pApA chAlA spID mIda uMdi kurrALlaku poyekAlaM vachchiMdi,non-hate,
HATE_4134,e rojullo ela chetta dress lu dancelu vesi paruvu theyyakamdi mam,hate,
HATE_4135,TIDIpI kAryakartalu aMdarU mana I ChAnèl nu Subscribe chèyyaMDi,non-hate,
HATE_4136,ilAMTivi chestene mIku twozeroonenine lo bòkka paDiMdi,hate,
HATE_4137,chaMdrabAbu nAyuDu saripotuMdi,hate,
HATE_4138,aMTe jagan ku bhayapaDutUne uMTAru ,hate,
HATE_4139,èlAMTi annI vIDiyolu chesina kAgan ikA kUDA pikaleru ,hate,
HATE_4140,AlrèDI mI mIda mIke DauT vachchesiMdi ,hate,
HATE_4141,ayya idi èvaru èDiT cheshAro vALlaku nA namaskArAlu  repu jaragaboye di karèkT gA chUpiMchAru,non-hate,
HATE_4142,bilDap bAbAy vachchADu,hate,
HATE_4143,nenu mègA phyAmilI abhimAninI èMduko gAni allu arjun aMTe nachchadu,hate,
HATE_4144,anna nuvva chAlA bAgA chesAvu ,non-hate,
HATE_4145,mI iddari kAmènShan sUpar annA,non-hate,
HATE_4146,jIvitAMtaM gAlike vadilestAru ,hate,
HATE_4147,nITi yuvatanu pADu chesevi ilAMTive ,hate,
HATE_4148,idaMtA èMdukani mA iMTlo ChAnèls lekuMDA chesAM,hate,
HATE_4149,nenaite muMde ChAnal mArchestA ,non-hate,
HATE_4150,mana deshaMlo dunna potunu mepinaTlu mepi bèyil mIda bayaTaku tIsuku vastAru,hate,
HATE_4151,yashoda mUvI chAlA bAgA uMdi,non-hate,
HATE_4152,Hit Kodithe kadhu madam valla tho padukunte offers vasthai vallaku,hate,
HATE_4153,Exposing dose penchhite offer lu vasaty ,hate,
HATE_4154,akhil ayyagAre karèkTu…,non-hate,
HATE_4155,"Frank ga cheppalante evari personal life valladi
Meru chesthundi enti mari
Peruki pedda news channels Avasaramayina news vadilesi sodhi news lu cheppatleApudu mimmalni alage anali ga
Enta sepu cinema valla personals lo leda social media peru cheppi
Netizenlu troll chesthunaru anatam Controversy lani pani kattukuni crete cheytamila sodhi news ee kani paniki vachevi epudyna cheppara ra
Scrap media channels",hate,
HATE_4156,Nee bonda pelli ayyaka vidipovatam kante munde vidipovatam manchidi nuvvu nee dikkumaalina news,hate,
HATE_4157,siddArth rèDDi gAri mATlADe vidhAnaM nAku chAlA iShTaM,non-hate,
HATE_4158,dAdApu three saMvatsarAla nuMDi èduru chUstunna nenu bairèDDi siddArtha rèDDi anna iMTarvyU kosaM,non-hate,
HATE_4159,mòttaM chUsA nijAyatI gA vunnAyi prashnalu javAbulusUpar bai rèDDi siddArth rèDDi ,non-hate,
HATE_4160,siddArth rèDDi anna lAMTi nAyakulu I samAjAniki chAlA avasaraM uMdi ,non-hate,
HATE_4161,siddArth rèDDi anna mATlADite puli paMjA visiriMTTu uMTuMdi jai siddArth rèDDi anna,non-hate,
HATE_4162,onlI  bai rèDDi siddhArtha rèDDi annayya kosaM chUsinavALlu like me,non-hate,
HATE_4163,bairèDDi siddhArtha rèDDi ki maMchi rAjakIya bhaviShyattu uMdi,non-hate,
HATE_4164,nA laiph lo òka nijAyatIgA sAgina iMTarvyU chUsA jai bairèDDi siddArtharèDDi gAru,non-hate,
HATE_4165,òka chinna pApanu pèMchutunnAru mIku manassuku shatakoTi vaMdanAlu gaNeSh gAru,non-hate,
HATE_4166,Hero lani chUsi herione la ni chUsi  murAsipoye kannA  baMDla gaNeSh sar interview chuste òka maMchi positive vibration vastuMdi kaShTaM ane padAniki arthaM nIvu sar aMdarU comdieons unnAru kAnI mIru life lo king sar Love u Sir Love you forever Sir,non-hate,
HATE_4167,òkariki jIvitaM ivvaDaM anniTikannA èMto gòppa viShayaM Tq bandla ganesh garu,non-hate,
HATE_4168,nAgarAju dUla tIrchina gaNeSh gAriki nA hRRidayapUrvaka dhanyavAdAlu,non-hate,
HATE_4169,AMdhrapradesh isuka mAphiyA DAn jaggu bhAy,hate,
HATE_4170,orini nèreShan tagalèyya rAjIv gADni miMchipoyAvka  sUpar ji edava,hate,
HATE_4171,AMdhrapradesh kòMDalu guTTalu kabjA mAphiyA DAn jaggu bhAy,hate,
HATE_4172,mUrti gAru mIku unnabAdha aMdarikI arthamayyete bAguMDunu,non-hate,
HATE_4173,ANimutyaM anna nuvvu ènni sArlu chusina bor kòTTaTle assalu ,non-hate,
HATE_4174,nAku iMTarnèT mòbail DeTA ledu aMDi iMdulonuMchi Dabbulu vaste epiMchukuMdAM ani chUstunna mAmulugA ledu anudIp gAri paMchès,non-hate,
HATE_4175,Meru super mee matala chala chala navu vastundi sir,non-hate,
HATE_4176,Director ga kante camedian ga akkuvaga navvistunnaru super,non-hate,
HATE_4177,I sinimA maMchi vijayaM sAdhiMchAlani korukuMTunnAnu,non-hate,
HATE_4178,nachchAvurA nijAnni nirbhayaMgA bAhATaMgA chèppagaligina nI vyaktitvAniki,non-hate,
HATE_4179,idi A eriyAlo chiru aMD janasena oTlakosaM I sTaMT erri pu gadu,hate,
HATE_4180,sar goodmng dharmavaraM nenu prati èpisoD chUstA mIlAMTi vALLu chAlA arudu,non-hate,
HATE_4181,India lo puTTinaMduku chAlA saMtoShaMgA garvAMgA uMdi Atleast manaki ikkaDa freedom uMdi ADavALLaki,non-hate,
HATE_4182,garvAMgA uMdi anveSh nuv mana bhAratiyuDu ayinaMduku shabhASh tòDakòTTi chèputunna iMDiyA lo puTTaTaM ènno janmala puNyaM,non-hate,
HATE_4183,prajalu tappakuMDA maMchi chèDu grahiMchi chaduvukunnavAru iTlAMTi viShayAlu tèliyani vALLaki tèliyachesi rAboye rojullo vij~natato oT vesi prajAsvAmyaM ni kApADAli ani manavi…,non-hate,
HATE_4184, mIru mI lAMTi vAru rAShTra niki chAlA avasaraM,non-hate,
HATE_4185,Vaadi face enti ala aypothundi chiraku ga,hate,
HATE_4186,Janaalu navutunaru Nani asalu siggu eggu lekunda elaa support cheskuntunnav,hate,
HATE_4187,Ree babu Nani GA neku eaduku Ra avasaram  vajaya Sai  chappali ha visayam nevu eaduku neku avasaram eamiti,hate,
HATE_4188,Veedu bhutulu vedava,hate,
HATE_4189,twofour hours TDP adhi chesindhi Janasena idhi chesindhi YSRCP EM PEEKINDHI RAAAAA lafoot all fraud all kabja all fake YSRCP life lo malli gelavadhu…,hate,
HATE_4190,Yerri paapalam manam  samanya prajalu,hate,
HATE_4191,Meeru Gopi Goda meeda pilli anna maata edava,hate,
HATE_4192,Party paranga vaduu Godameeda pilli laga kuda vaddu ra howla,hate,
HATE_4193,Noone broker raa nuvvu,hate,
HATE_4194,Ithea meeru yemi chei leru Ani opukunaru santosam ithea meeru cheappe sollu ennalu vinnandhuku memu sannasulam kaani memu twozerotwofour lo maa vote tho cheigalam,hate,
HATE_4195,Dasamagram Datha Puthrudu Gali Pavan puka ga Namakaranam cheyyadi,hate,
HATE_4196,Elagaina vastadu mee dhulaa thirustadu,hate,
HATE_4197,Induke mimmalni YCHEEPI chavata sannasulu andi,hate,
HATE_4198,Mere brathukulu inthey eka Nasanayam aaipotai ,hate,
HATE_4199,Miru Theda ga kanipisthunnaru,hate,
HATE_4200,YCHEEPI goondalaki Bhayam start ayyindi edavalu ki,hate,
HATE_4201,Cinema shuting ku avasaraM anukuMTAaMdulo sIn kosaM ilA chesinADu kAru mIda panukovaDaM overaction erri p gadu,hate,
HATE_4202,Maku commen sense undaa banda edava  anni ardam avthunai miku ardam avudi election ina tharwatha,hate,
HATE_4203,E Andhra Thanos and Paytm batch picheakki elanti panulu cheastunarru Poea kalamm dagera padindi,hate,
HATE_4204,Shooting leka mind dobbindi court should consider this issue if students take him as inspiration then what will happen Is it correct pls consider it,hate,
HATE_4205,Hello paytm s meeeku okkadi paguluddi,hate,
HATE_4206,Konderri puk channel la unde,hate,
HATE_4207,poyekAlaM daggariki vaste alAge mATlADutAru mATlADaMDi,hate,
HATE_4208,ayya ikkadiki vochi fivers tiskuni moragandi inka,hate,
HATE_4209,Pora neeeeeee nekanna pedha vunmadhi vuntara ambati,hate,
HATE_4210,ilAMTi pichchi paTTina vALLa guriMchi mATlADaTaM èMduku aMbaTi gAruvadileyaMDi,hate,
HATE_4211,elangana prabhuthvam Andhuna POINT KALYAN vaadi AMMA ni DHENGINA prabhuthvam kadha No doubt,hate,
HATE_4212,Car top medhega kurchuni vachindhi mee araganta auntymedha kurchuni kaadhu ga me fans tega feel aypothu support chestnaaru manchi aatagaadivey,hate,
HATE_4213,mArri tAmAru èvarri tokanu pATTukunnAru mAhAseyA abaTTi,hate,
HATE_4214,Meeru ilaage sakshi munde vuntaaru okasari bayatiki velthe nee bathuku yento prajalu telustaaaru velli chudu,hate,
HATE_4215,Pichi pattinattundi peekey ki A P arachekam jaragabothundhi ani anipistundhi naku,hate,
HATE_4216,Vaadi puttuka lopam,hate,
HATE_4217,Ee gali gadu UgipotunnaduCinma shooting anukunnademo,hate,
HATE_4218,shanivAraM nADu shani gADu vachchADu mana rAShTrAniki,hate,
HATE_4219,Konchum Theda kadu chala Theda After twozerotwofour elections twofive paise direct flight to Moscow Russia to become President of Russia Package  changed from Rs twofivezero cr to Rs onezerozerozero cr,hate,
HATE_4220,Pichi kukka tho pillasainiks jai Paytm pillasainiks,hate,
HATE_4221,Siguu vundali mokaniki laa,hate,
HATE_4222,Siggu undali ra,hate,
HATE_4223,Nuvvu vastavu em matladathavo nekay theledhu tedha ga,hate,
HATE_4224,Neevi pichi kekalu,hate,
HATE_4225,Nuv pani cheira babu mundu eppudu vere malla meda padi edustav,hate,
HATE_4226,Babu aambotu ramubabu garu maru matladevi enti ainaa meekanna unmadulu evarunnaru netho padhi mandi daka untaru malli chupinchu antaru enti,hate,
HATE_4227,Sir paapam taagivachaduthagubhothoduvadhileyandi sirsir ma galli lo oka drinker same to same pk laagane vunttaduvaadu vaadi cuttingthu,hate,
HATE_4228,Pawala Pichi KukkaBiscuits kosam vachindoiiii,hate,
HATE_4229,Nuv matladina  waste ra,hate,
HATE_4230,nikanna kukkaha leru,hate,
HATE_4231,Apara thagubothu abbati,hate,
HATE_4232,Sulli ra,hate,
HATE_4233,Nuve tedaga mataladutunav,hate,
HATE_4234,Babu o rambabu nuve sa Naki pothuv babu,hate,
HATE_4235,aMdarikI arthamayye bhAShalo chAlA bAgA mATlADAru sar,non-hate,
HATE_4236,Mee maata tiru chala baguntadi si,non-hate,
HATE_4237,sUpar sAr mIru chAlA bAgA mATlADAru sAr,non-hate,
HATE_4238,madhusUdan anna asèMblIlo ayinA bayaTa ayinA mI spIch ki memu èppaTikI abhimAnulame,non-hate,
HATE_4239,siMhaM nidra lechiMdi òkkòkkaDiki òkkòkkaDiki jolapADalevu,non-hate,
HATE_4240,Atla vuntadi mala manathoni mamula undadhu,non-hate,
HATE_4241,sUpar meDaM bAgA chèppAru ,non-hate,
HATE_4242,rojA chAlA tappu chesiMdi iMkA chestuMdi,non-hate,
HATE_4243,meDam mIlAMTi vAru I sòsaiTIki kAvAli,non-hate,
HATE_4244,nijaM nirbhayaMgA aDigAru meDaM thAMkyU meDaM mahA nyUs meDaM gAriki dhanyavAdAlu,non-hate,
HATE_4245,taTTA buTTA sardukòni rèDI guMDu jagan rèDDi TaiM ayipoyiMdi,hate,
HATE_4246,èvaru emi kuMTA panini emicheyAleru mana nAyukuDu .NpajalamaMchikori vADu aMduku devuDu toDuMTADu,non-hate,
HATE_4247,entha cute couple abbaa ,non-hate,
HATE_4248,Akkka this is just  na birthday akka ninna and this video makes me laugh little harder u guys are best,non-hate,
HATE_4249,Meeru nijamga made for each other  Asalu mi vlogs vammo navvi navvi na kallalo nunchi water ochesindhi  hope you will do more and more videos ,non-hate,
HATE_4250,Geethu first navu over action vadu ok ah pubic ke over action vadu ok navu Koda same,hate,
HATE_4251,Peetha … idokA Lavada lo buildup,hate,
HATE_4252, ipuDu kUDa tana tappulu òppukovaTaM ledu pichi munda,hate,
HATE_4253,Geethakka performance matram apadam ledhu gamental di,hate,
HATE_4254,Geethu ki correct mogudu Shiva dimma thirigindi geethu ki ,hate,
HATE_4255,Next faima I pòjiShan loki rAvAli saporT lekuMDA gem ADaTledu Worst gA behave chestuMdi,hate,
